id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
fe5b78a6d22198c4,If some people are anti-catholic then their just biggots.,1,0,0,0,0,0
fe6585aaa6182d28,You ignored him too,1,0,0,0,0,0
fe77e59403ac395e,", as User:Dr.K wasn't saying it in the article",1,0,0,0,0,0
fe7b1f2bd3756b0b,"LaserActive 

Hi SchuminWeb, I am confused by your removal of the LaserActive link to the virtual LaserActive museum. Did you have a chance to explore that a little (like on the left, check various sections)?
Cheers, -CyRo",1,0,0,0,0,0
fe93b5e609f5cfdd,Lists of Islamic Jihads,1,0,0,0,0,0
fea196598389c77c,"""

 URL Update (update to my previous, and only, post) 

I checked today and verified that the """"original"""" 'chucknorrisfacts' URL is working (vs. the 'replacement' URL mentioned in my previous post 'thechucknorrisfacts'.)""",1,0,0,0,0,0
fea3b2d3ee44bed1,"A person living in Canada has just as much right as anyone else in the world to research and own a particular dog (or anything else).  You, nor the Koolie Club of Australia, have patented sole rights to these dogs.  Wikipedia is all about correct information and NOT theories and your own ideas of what happened, what was and what will be.... Wikipedia is based on facts, which clearly has been stated on the German Coolie page and not the Australian Koolie page.",1,0,0,0,0,0
feb5637c531f933d,"""
Thank you. Given the misuse of tools here and the itchy trigger finger as exemplified by the thread above, this """"admin"""" needs to be examined by Arbcom. I'm not surprised to see a thread already open at ANI discussing it's recent behavioural trends. I won't be initiating anything but will most certainly be presenting evidence at the appropriate time. In the meantime someone needs to tell this """"admin"""" to calm the fuck down and stop removing comments mad by editors on their own talk pages. That's a blockable offence, especially when they were told to never post here again. INVOLVED much?   """,1,0,0,0,0,0
feb7b0707a986abe,Based on the above discussion it is abundantly clear that there is no consensus for insertion of the third criteria repeatedly inserted by disruptive edits ignoring the talk page completely. Also unacceptable is editing the list based on the new criteria within the same edit that changed it.,1,0,0,0,0,0
feb7b4cd87581409,If it's irrelevant I'll remove it. The sentence adds nothing at all to anyone's understanding of the murder.,1,0,0,0,0,0
febd822119bc01b7,"""

Grant specifically says that """"no attempt to enforce the rule of nonrecognition as regards East Jerusalem seems to have been made at U.N. level. No occasion for enforcement has been afforded in regard to the Golan Heights"""".
Also, Grant is the only guy I could find who calls UN General Assembly resolutions  """"regimes of non-recognition"""" and I believe that using this term is misleading and not neutral. So not """"sourced reliably"""" and not """"written in a neutral style"""". 
I would also suggest that reverting after a specific BRD request, even if only doing it once or twice per day is edit warring and disruptive. I'm sure ArbCom frowns on that sort of thing as well.   """,1,0,0,0,0,0
fec30de33a2f29a3,"Or, I could scan the articles  and place them online in a directory  on my webserver....what is the community's pleasure?",1,0,0,0,0,0
